================================================================================
2024 DATA COVERAGE SUMMARY
================================================================================

Total number of station files: 633
Station 769: 2024-01-01 to 2024-12-31 (99.99%)
Station 817: 2024-01-01 to 2024-12-31 (100.00%)
Station 850: 2024-01-01 to 2024-12-31 (99.85%)
Station 853: 2024-01-01 to 2024-12-31 (100.00%)
Station 856: 2024-01-01 to 2024-12-31 (100.00%)
Station 860: 2024-01-01 to 2024-12-31 (100.00%)
Station 867: 2024-01-01 to 2024-12-31 (100.00%)
Station 880: 2024-01-01 to 2024-12-31 (100.00%)
Station 891: 2024-01-01 to 2024-12-31 (100.00%)
Station 896: 2024-01-01 to 2024-12-31 (100.00%)
Station 917: 2024-01-01 to 2024-12-31 (100.00%)
Station 953: 2024-01-01 to 2024-12-31 (100.00%)
Station 963: 2024-01-01 to 2024-12-31 (100.00%)
Station 983: 2024-01-01 to 2024-12-31 (100.00%)
Station 991: 2024-01-01 to 2024-12-31 (100.00%)
Station 1001: 2024-01-01 to 2024-12-31 (100.00%)
Station 1048: 2024-01-01 to 2024-12-31 (100.00%)
Station 1050: 2024-01-01 to 2024-12-31 (100.00%)
Station 1052: 2024-01-01 to 2024-12-31 (100.00%)
Station 1072: 2024-01-01 to 2024-12-31 (100.00%)
Station 1078: 2024-01-01 to 2024-12-31 (100.00%)
Station 1103: 2024-01-01 to 2024-12-31 (100.00%)
Station 1107: 2024-01-01 to 2024-12-31 (100.00%)
Station 1161: 2024-01-01 to 2024-12-31 (100.00%)
Station 1197: 2024-01-01 to 2024-12-31 (100.00%)
Station 1200: 2024-01-01 to 2024-12-31 (100.00%)
Station 1207: 2024-01-01 to 2024-12-31 (100.00%)
Station 1214: 2024-01-01 to 2024-12-31 (100.00%)
Station 1224: 2024-01-01 to 2024-12-31 (100.00%)
Station 1228: 2024-01-01 to 2024-12-31 (98.43%)
Station 1246: 2024-01-01 to 2024-12-31 (100.00%)
Station 1255: 2024-01-01 to 2024-12-31 (100.00%)
Station 1262: 2024-01-01 to 2024-12-31 (100.00%)
Station 1266: 2024-01-01 to 2024-12-31 (100.00%)
Station 1270: 2024-01-01 to 2024-12-31 (100.00%)
Station 1279: 2024-01-01 to 2024-12-31 (100.00%)
Station 1297: 2024-01-01 to 2024-12-31 (100.00%)
Station 1300: 2024-01-01 to 2024-12-31 (100.00%)
Station 1303: 2024-01-01 to 2024-12-31 (100.00%)
Station 1327: 2024-01-01 to 2024-12-31 (100.00%)
Station 1332: 2024-01-01 to 2024-12-31 (100.00%)
Station 1339: 2024-01-01 to 2024-12-31 (99.87%)
Station 1346: 2024-01-01 to 2024-12-31 (100.00%)
Station 1357: 2024-01-01 to 2024-12-31 (100.00%)
Station 1358: 2024-01-01 to 2024-12-31 (100.00%)
Station 1411: 2024-01-01 to 2024-12-31 (100.00%)
Station 1420: 2024-01-01 to 2024-12-31 (100.00%)
Station 1424: 2024-01-01 to 2024-12-31 (100.00%)
Station 1443: 2024-01-01 to 2024-12-31 (100.00%)
Station 1451: 2024-01-01 to 2024-12-31 (100.00%)
Station 1468: 2024-01-01 to 2024-12-31 (100.00%)
Station 1503: 2024-01-01 to 2024-12-31 (98.17%)
Station 1504: 2024-01-01 to 2024-12-31 (99.99%)
Station 1526: 2024-01-01 to 2024-12-31 (100.00%)
Station 1544: 2024-01-01 to 2024-12-31 (100.00%)
Station 1550: 2024-01-01 to 2024-12-31 (99.29%)
Station 1572: 2024-01-01 to 2024-12-31 (99.97%)
Station 1580: 2024-01-01 to 2024-12-31 (100.00%)
Station 1587: 2024-01-01 to 2024-12-31 (100.00%)
Station 1590: 2024-01-01 to 2024-12-31 (100.00%)
Station 1602: 2024-01-01 to 2024-12-31 (100.00%)
Station 1605: 2024-01-01 to 2024-12-31 (100.00%)
Station 1612: 2024-01-01 to 2024-12-31 (100.00%)
Station 1639: 2024-01-01 to 2024-12-31 (100.00%)
Station 1645: 2024-01-01 to 2024-12-31 (100.00%)
Station 1666: 2024-01-01 to 2024-12-31 (99.32%)
Station 1684: 2024-01-01 to 2024-12-31 (100.00%)
Station 1691: 2024-01-01 to 2024-12-31 (100.00%)
Station 1694: 2024-01-01 to 2024-12-31 (100.00%)
Station 1721: 2024-01-01 to 2024-12-31 (100.00%)
Station 1735: 2024-01-01 to 2024-12-31 (100.00%)
Station 1736: 2024-01-01 to 2024-12-31 (100.00%)
Station 1757: 2024-01-01 to 2024-12-31 (100.00%)
Station 1759: 2024-01-01 to 2024-12-31 (99.69%)
Station 1766: 2024-01-01 to 2024-12-31 (100.00%)
Station 1792: 2024-01-01 to 2024-12-31 (100.00%)
Station 1803: 2024-01-01 to 2024-12-31 (100.00%)
Station 1832: 2024-01-01 to 2024-12-31 (100.00%)
Station 1863: 2024-01-01 to 2024-12-31 (99.31%)
Station 1869: 2024-01-01 to 2024-12-31 (100.00%)
Station 1886: 2024-01-01 to 2024-12-31 (100.00%)
Station 1975: 2024-01-01 to 2024-12-31 (100.00%)
Station 1981: 2024-01-01 to 2024-12-31 (100.00%)
Station 2014: 2024-01-01 to 2024-12-31 (100.00%)
Station 2023: 2024-01-01 to 2024-12-31 (100.00%)
Station 2039: 2024-01-01 to 2024-12-31 (100.00%)
Station 2044: 2024-01-01 to 2024-12-31 (100.00%)
Station 2074: 2024-01-01 to 2024-12-31 (100.00%)
Station 2115: 2024-01-01 to 2024-12-31 (100.00%)
Station 2171: 2024-01-01 to 2024-12-31 (100.00%)
Station 2174: 2024-01-01 to 2024-12-31 (100.00%)
Station 2201: 2024-01-01 to 2024-12-31 (100.00%)
Station 2211: 2024-01-01 to 2024-12-31 (100.00%)
Station 2252: 2024-01-01 to 2024-12-31 (100.00%)
Station 2261: 2024-01-01 to 2024-12-31 (100.00%)
Station 2290: 2024-01-01 to 2024-12-31 (100.00%)
Station 2303: 2024-01-01 to 2024-12-31 (99.67%)
Station 2306: 2024-01-01 to 2024-12-31 (100.00%)
Station 2315: 2024-01-01 to 2024-12-31 (99.84%)
Station 2319: 2024-01-01 to 2024-12-31 (100.00%)
Station 2323: 2024-01-01 to 2024-12-31 (100.00%)
Station 2362: 2024-01-01 to 2024-12-31 (100.00%)
Station 2385: 2024-01-01 to 2024-12-31 (100.00%)
Station 2410: 2024-01-01 to 2024-12-31 (99.76%)
Station 2429: 2024-01-01 to 2024-12-31 (100.00%)
Station 2437: 2024-01-01 to 2024-12-31 (99.36%)
Station 2444: 2024-01-01 to 2024-12-31 (100.00%)
Station 2480: 2024-01-01 to 2024-12-31 (100.00%)
Station 2483: 2024-01-01 to 2024-12-31 (100.00%)
Station 2485: 2024-01-01 to 2024-12-31 (100.00%)
Station 2486: 2024-01-01 to 2024-12-31 (100.00%)
Station 2497: 2024-01-01 to 2024-12-31 (100.00%)
Station 2559: 2024-01-01 to 2024-12-31 (100.00%)
Station 2564: 2024-01-01 to 2024-12-31 (100.00%)
Station 2575: 2024-01-01 to 2024-12-31 (100.00%)
Station 2578: 2024-01-01 to 2024-12-31 (100.00%)
Station 2597: 2024-01-01 to 2024-12-31 (100.00%)
Station 2600: 2024-01-01 to 2024-12-31 (100.00%)
Station 2601: 2024-01-01 to 2024-12-31 (100.00%)
Station 2618: 2024-01-01 to 2024-12-31 (100.00%)
Station 2627: 2024-01-01 to 2024-12-31 (100.00%)
Station 2629: 2024-01-01 to 2024-12-31 (100.00%)
Station 2638: 2024-01-01 to 2024-12-31 (100.00%)
Station 2641: 2024-01-01 to 2024-12-31 (100.00%)
Station 2667: 2024-01-01 to 2024-12-31 (100.00%)
Station 2680: 2024-01-01 to 2024-12-31 (100.00%)
Station 2700: 2024-01-01 to 2024-12-31 (100.00%)
Station 2704: 2024-01-01 to 2024-12-31 (100.00%)
Station 2708: 2024-01-01 to 2024-12-31 (100.00%)
Station 2712: 2024-01-01 to 2024-12-31 (100.00%)
Station 2750: 2024-01-01 to 2024-12-31 (100.00%)
Station 2773: 2024-01-01 to 2024-12-31 (100.00%)
Station 2794: 2024-01-01 to 2024-12-31 (100.00%)
Station 2796: 2024-01-01 to 2024-12-31 (100.00%)
Station 2812: 2024-01-01 to 2024-12-31 (100.00%)
Station 2814: 2024-01-01 to 2024-12-31 (100.00%)
Station 2856: 2024-01-01 to 2024-12-31 (100.00%)
Station 2878: 2024-01-01 to 2024-12-31 (100.00%)
Station 2886: 2024-01-01 to 2024-12-31 (99.92%)
Station 2905: 2024-01-01 to 2024-12-31 (99.49%)
Station 2907: 2024-01-01 to 2024-12-31 (100.00%)
Station 2925: 2024-01-01 to 2024-12-31 (100.00%)
Station 2928: 2024-01-01 to 2024-12-31 (99.99%)
Station 2932: 2024-01-01 to 2024-12-31 (100.00%)
Station 2947: 2024-01-01 to 2024-12-31 (100.00%)
Station 2951: 2024-01-01 to 2024-12-31 (100.00%)
Station 2953: 2024-01-01 to 2024-12-31 (100.00%)
Station 2961: 2024-01-01 to 2024-12-31 (100.00%)
Station 2985: 2024-01-01 to 2024-12-31 (100.00%)
Station 3015: 2024-01-01 to 2024-12-31 (100.00%)
Station 3028: 2024-01-01 to 2024-12-31 (100.00%)
Station 3031: 2024-01-01 to 2024-12-31 (100.00%)
Station 3032: 2024-01-01 to 2024-12-31 (100.00%)
Station 3034: 2024-01-01 to 2024-12-31 (100.00%)
Station 3042: 2024-01-01 to 2024-12-31 (100.00%)
Station 3083: 2024-01-01 to 2024-12-31 (100.00%)
Station 3086: 2024-01-01 to 2024-12-31 (98.44%)
Station 3093: 2024-01-01 to 2024-12-31 (100.00%)
Station 3098: 2024-01-01 to 2024-12-31 (100.00%)
Station 3126: 2024-01-01 to 2024-12-31 (100.00%)
Station 3147: 2024-01-01 to 2024-12-31 (100.00%)
Station 3155: 2024-01-01 to 2024-12-31 (100.00%)
Station 3158: 2024-01-01 to 2024-12-31 (100.00%)
Station 3164: 2024-01-01 to 2024-12-31 (100.00%)
Station 3166: 2024-01-01 to 2024-12-31 (100.00%)
Station 3167: 2024-01-01 to 2024-12-31 (100.00%)
Station 3181: 2024-01-01 to 2024-12-31 (100.00%)
Station 3196: 2024-01-01 to 2024-12-31 (100.00%)
Station 3204: 2024-01-01 to 2024-12-31 (100.00%)
Station 3226: 2024-01-01 to 2024-12-31 (100.00%)
Station 3231: 2024-01-01 to 2024-12-31 (100.00%)
Station 3234: 2024-01-01 to 2024-12-31 (100.00%)
Station 3244: 2024-01-01 to 2024-12-31 (100.00%)
Station 3254: 2024-01-01 to 2024-12-31 (98.99%)
Station 3268: 2024-01-01 to 2024-12-31 (100.00%)
Station 3271: 2024-01-01 to 2024-12-31 (100.00%)
Station 3278: 2024-01-01 to 2024-12-31 (100.00%)
Station 3284: 2024-01-01 to 2024-12-31 (100.00%)
Station 3287: 2024-01-01 to 2024-12-31 (100.00%)
Station 3289: 2024-01-01 to 2024-12-31 (100.00%)
Station 3319: 2024-01-01 to 2024-12-31 (100.00%)
Station 3321: 2024-01-01 to 2024-12-31 (100.00%)
Station 3348: 2024-01-01 to 2024-12-31 (98.55%)
Station 3362: 2024-01-01 to 2024-12-31 (100.00%)
Station 3366: 2024-01-01 to 2024-12-31 (100.00%)
Station 3376: 2024-01-01 to 2024-12-31 (100.00%)
Station 3379: 2024-01-01 to 2024-12-31 (100.00%)
Station 3402: 2024-01-01 to 2024-12-31 (100.00%)
Station 3426: 2024-01-01 to 2024-12-31 (100.00%)
Station 3442: 2024-01-01 to 2024-12-31 (100.00%)
Station 3484: 2024-01-01 to 2024-12-31 (100.00%)
Station 3485: 2024-01-01 to 2024-12-31 (100.00%)
Station 3490: 2024-01-01 to 2024-12-31 (96.87%)
Station 3509: 2024-01-01 to 2024-12-31 (100.00%)
Station 3513: 2024-01-01 to 2024-12-31 (100.00%)
Station 3527: 2024-01-01 to 2024-12-31 (100.00%)
Station 3540: 2024-01-01 to 2024-12-31 (100.00%)
Station 3545: 2024-01-01 to 2024-12-31 (100.00%)
Station 3571: 2024-01-01 to 2024-12-31 (100.00%)
Station 3591: 2024-01-01 to 2024-12-31 (100.00%)
Station 3603: 2024-01-01 to 2024-12-31 (99.99%)
Station 3612: 2024-01-01 to 2024-12-31 (100.00%)
Station 3621: 2024-01-01 to 2024-12-31 (100.00%)
Station 3623: 2024-01-01 to 2024-12-31 (99.93%)
Station 3631: 2024-01-01 to 2024-12-31 (100.00%)
Station 3639: 2024-01-01 to 2024-12-31 (99.92%)
Station 3660: 2024-01-01 to 2024-12-31 (100.00%)
Station 3667: 2024-01-01 to 2024-12-31 (100.00%)
Station 3668: 2024-01-01 to 2024-12-31 (100.00%)
Station 3679: 2024-01-01 to 2024-12-31 (100.00%)
Station 3730: 2024-01-01 to 2024-12-31 (100.00%)
Station 3734: 2024-01-01 to 2024-12-31 (100.00%)
Station 3739: 2024-01-01 to 2024-12-31 (100.00%)
Station 3761: 2024-01-01 to 2024-12-31 (100.00%)
Station 3811: 2024-01-01 to 2024-12-31 (100.00%)
Station 3821: 2024-01-01 to 2024-12-31 (100.00%)
Station 3836: 2024-01-01 to 2024-12-31 (100.00%)
Station 3857: 2024-01-01 to 2024-12-31 (100.00%)
Station 3875: 2024-01-01 to 2024-12-31 (100.00%)
Station 3897: 2024-01-01 to 2024-12-31 (100.00%)
Station 3904: 2024-01-01 to 2024-12-31 (100.00%)
Station 3925: 2024-01-01 to 2024-12-31 (100.00%)
Station 3927: 2024-01-01 to 2024-12-31 (100.00%)
Station 3939: 2024-01-01 to 2024-12-31 (100.00%)
Station 3946: 2024-01-01 to 2024-12-31 (100.00%)
Station 3975: 2024-01-01 to 2024-12-31 (100.00%)
Station 3987: 2024-01-01 to 2024-12-31 (100.00%)
Station 4024: 2024-01-01 to 2024-12-31 (98.18%)
Station 4032: 2024-01-01 to 2024-12-31 (100.00%)
Station 4036: 2024-01-01 to 2024-12-31 (100.00%)
Station 4039: 2024-01-01 to 2024-12-31 (100.00%)
Station 4063: 2024-01-01 to 2024-12-31 (100.00%)
Station 4094: 2024-01-01 to 2024-12-31 (100.00%)
Station 4104: 2024-01-01 to 2024-12-31 (100.00%)
Station 4127: 2024-01-01 to 2024-12-31 (100.00%)
Station 4160: 2024-01-01 to 2024-12-31 (100.00%)
Station 4169: 2024-01-01 to 2024-12-31 (100.00%)
Station 4175: 2024-01-01 to 2024-12-31 (100.00%)
Station 4177: 2024-01-01 to 2024-12-31 (100.00%)
Station 4189: 2024-01-01 to 2024-12-31 (100.00%)
Station 4271: 2024-01-01 to 2024-12-31 (100.00%)
Station 4275: 2024-01-01 to 2024-12-31 (100.00%)
Station 4280: 2024-01-01 to 2024-12-31 (100.00%)
Station 4287: 2024-01-01 to 2024-12-31 (100.00%)
Station 4300: 2024-01-01 to 2024-12-31 (100.00%)
Station 4301: 2024-01-01 to 2024-12-31 (100.00%)
Station 4323: 2024-01-01 to 2024-12-31 (100.00%)
Station 4336: 2024-01-01 to 2024-12-31 (100.00%)
Station 4349: 2024-01-01 to 2024-12-31 (100.00%)
Station 4354: 2024-01-01 to 2024-12-31 (98.26%)
Station 4371: 2024-01-01 to 2024-12-31 (98.71%)
Station 4377: 2024-01-01 to 2024-12-31 (100.00%)
Station 4393: 2024-01-01 to 2024-12-31 (100.00%)
Station 4411: 2024-01-01 to 2024-12-31 (100.00%)
Station 4445: 2024-01-01 to 2024-12-31 (100.00%)
Station 4464: 2024-01-01 to 2024-12-31 (100.00%)
Station 4466: 2024-01-01 to 2024-12-31 (100.00%)
Station 4480: 2024-01-01 to 2024-12-31 (100.00%)
Station 4501: 2024-01-01 to 2024-12-31 (100.00%)
Station 4508: 2024-01-01 to 2024-12-31 (100.00%)
Station 4548: 2024-01-01 to 2024-12-31 (100.00%)
Station 4559: 2024-01-01 to 2024-12-31 (100.00%)
Station 4592: 2024-01-01 to 2024-12-31 (100.00%)
Station 4605: 2024-01-01 to 2024-12-31 (100.00%)
Station 4625: 2024-01-01 to 2024-12-31 (100.00%)
Station 4642: 2024-01-01 to 2024-12-31 (100.00%)
Station 4651: 2024-01-01 to 2024-12-31 (100.00%)
Station 4703: 2024-01-01 to 2024-12-31 (100.00%)
Station 4704: 2024-01-01 to 2024-12-31 (100.00%)
Station 4706: 2024-01-01 to 2024-12-31 (100.00%)
Station 4709: 2024-01-01 to 2024-12-31 (100.00%)
Station 4745: 2024-01-01 to 2024-12-31 (100.00%)
Station 4748: 2024-01-01 to 2024-12-31 (100.00%)
Station 4813: 2024-01-01 to 2024-12-31 (100.00%)
Station 4841: 2024-01-01 to 2024-12-31 (100.00%)
Station 4857: 2024-01-01 to 2024-12-31 (100.00%)
Station 4878: 2024-01-01 to 2024-12-31 (100.00%)
Station 4887: 2024-01-01 to 2024-12-31 (100.00%)
Station 4911: 2024-01-01 to 2024-12-31 (100.00%)
Station 4928: 2024-01-01 to 2024-12-31 (100.00%)
Station 4931: 2024-01-01 to 2024-12-31 (100.00%)
Station 4978: 2024-01-01 to 2024-12-31 (100.00%)
Station 4997: 2024-01-01 to 2024-12-31 (100.00%)
Station 5009: 2024-01-01 to 2024-12-31 (100.00%)
Station 5014: 2024-01-01 to 2024-12-31 (100.00%)
Station 5017: 2024-01-01 to 2024-12-31 (100.00%)
Station 5029: 2024-01-01 to 2024-12-31 (100.00%)
Station 5046: 2024-01-01 to 2024-12-31 (100.00%)
Station 5064: 2024-01-01 to 2024-12-31 (100.00%)
Station 5097: 2024-01-01 to 2024-12-31 (100.00%)
Station 5099: 2024-01-01 to 2024-12-31 (100.00%)
Station 5100: 2024-01-01 to 2024-12-31 (100.00%)
Station 5109: 2024-01-01 to 2024-12-31 (100.00%)
Station 5111: 2024-01-01 to 2024-12-31 (100.00%)
Station 5133: 2024-01-01 to 2024-12-31 (100.00%)
Station 5142: 2024-01-01 to 2024-12-31 (100.00%)
Station 5146: 2024-01-01 to 2024-12-31 (100.00%)
Station 5158: 2024-01-01 to 2024-12-31 (100.00%)
Station 5229: 2024-01-01 to 2024-12-31 (100.00%)
Station 5275: 2024-01-01 to 2024-12-31 (100.00%)
Station 5279: 2024-01-01 to 2024-12-31 (100.00%)
Station 5280: 2024-01-01 to 2024-12-31 (100.00%)
Station 5300: 2024-01-01 to 2024-12-31 (100.00%)
Station 5335: 2024-01-01 to 2024-12-31 (100.00%)
Station 5347: 2024-01-01 to 2024-12-31 (100.00%)
Station 5349: 2024-01-01 to 2024-12-31 (100.00%)
Station 5371: 2024-01-01 to 2024-12-31 (100.00%)
Station 5397: 2024-01-01 to 2024-12-31 (100.00%)
Station 5404: 2024-01-01 to 2024-12-31 (100.00%)
Station 5424: 2024-01-01 to 2024-12-31 (100.00%)
Station 5426: 2024-01-01 to 2024-12-31 (100.00%)
Station 5440: 2024-01-01 to 2024-12-31 (100.00%)
Station 5480: 2024-01-01 to 2024-12-31 (100.00%)
Station 5490: 2024-01-01 to 2024-12-31 (100.00%)
Station 5516: 2024-01-01 to 2024-12-31 (100.00%)
Station 5538: 2024-01-01 to 2024-12-31 (100.00%)
Station 5541: 2024-01-01 to 2024-12-31 (100.00%)
Station 5546: 2024-01-01 to 2024-12-31 (100.00%)
Station 5562: 2024-01-01 to 2024-12-31 (100.00%)
Station 5629: 2024-01-01 to 2024-12-31 (100.00%)
Station 5640: 2024-01-01 to 2024-12-31 (98.25%)
Station 5643: 2024-01-01 to 2024-12-31 (100.00%)
Station 5664: 2024-01-01 to 2024-12-31 (100.00%)
Station 5688: 2024-01-01 to 2024-12-31 (100.00%)
Station 5705: 2024-01-01 to 2024-12-31 (100.00%)
Station 5715: 2024-01-01 to 2024-12-31 (99.90%)
Station 5717: 2024-01-01 to 2024-12-31 (100.00%)
Station 5731: 2024-01-01 to 2024-12-31 (100.00%)
Station 5745: 2024-01-01 to 2024-12-31 (100.00%)
Station 5750: 2024-01-01 to 2024-12-31 (100.00%)
Station 5779: 2024-01-01 to 2024-12-31 (100.00%)
Station 5792: 2024-01-01 to 2024-12-31 (100.00%)
Station 5797: 2024-01-01 to 2024-12-31 (100.00%)
Station 5800: 2024-01-01 to 2024-12-31 (100.00%)
Station 5822: 2024-01-01 to 2024-12-31 (100.00%)
Station 5825: 2024-01-01 to 2024-12-31 (100.00%)
Station 5839: 2024-01-01 to 2024-12-31 (100.00%)
Station 5856: 2024-01-01 to 2024-12-31 (100.00%)
Station 5871: 2024-01-01 to 2024-12-31 (100.00%)
Station 5906: 2024-01-01 to 2024-12-31 (100.00%)
Station 5930: 2024-01-01 to 2024-12-31 (100.00%)
Station 5941: 2024-01-01 to 2024-12-31 (100.00%)
Station 6093: 2024-01-01 to 2024-12-31 (100.00%)
Station 6105: 2024-01-01 to 2024-12-31 (100.00%)
Station 6109: 2024-01-01 to 2024-12-31 (100.00%)
Station 6129: 2024-01-01 to 2024-12-31 (100.00%)
Station 6157: 2024-01-01 to 2024-12-31 (100.00%)
Station 6158: 2024-01-01 to 2024-12-31 (100.00%)
Station 6159: 2024-01-01 to 2024-12-31 (100.00%)
Station 6163: 2024-01-01 to 2024-12-31 (100.00%)
Station 6170: 2024-01-01 to 2024-12-31 (100.00%)
Station 6197: 2024-01-01 to 2024-12-31 (100.00%)
Station 6199: 2024-01-01 to 2024-12-31 (100.00%)
Station 6217: 2024-01-01 to 2024-12-31 (100.00%)
Station 6258: 2024-01-01 to 2024-12-31 (100.00%)
Station 6259: 2024-01-01 to 2024-12-31 (100.00%)
Station 6260: 2024-01-01 to 2024-12-31 (95.20%)
Station 6262: 2024-01-01 to 2024-12-31 (100.00%)
Station 6263: 2024-01-01 to 2024-12-31 (100.00%)
Station 6264: 2024-01-01 to 2024-12-31 (100.00%)
Station 6265: 2024-01-01 to 2024-12-31 (100.00%)
Station 6266: 2024-01-01 to 2024-12-31 (100.00%)
Station 6272: 2024-01-01 to 2024-12-31 (100.00%)
Station 6273: 2024-01-01 to 2024-12-31 (100.00%)
Station 6275: 2024-01-01 to 2024-12-31 (100.00%)
Station 6305: 2024-01-01 to 2024-12-31 (100.00%)
Station 6310: 2024-01-01 to 2024-12-31 (100.00%)
Station 6314: 2024-01-01 to 2024-12-31 (100.00%)
Station 6336: 2024-01-01 to 2024-12-31 (100.00%)
Station 6337: 2024-01-01 to 2024-12-31 (100.00%)
Station 6344: 2024-01-01 to 2024-12-31 (100.00%)
Station 6346: 2024-01-01 to 2024-12-31 (100.00%)
Station 6347: 2024-01-01 to 2024-12-31 (100.00%)
Station 7075: 2024-01-01 to 2024-12-31 (100.00%)
Station 7105: 2024-01-01 to 2024-12-31 (100.00%)
Station 7106: 2024-01-01 to 2024-12-31 (100.00%)
Station 7187: 2024-01-01 to 2024-12-31 (100.00%)
Station 7298: 2024-01-01 to 2024-12-31 (100.00%)
Station 7319: 2024-01-01 to 2024-12-31 (100.00%)
Station 7321: 2024-01-01 to 2024-12-31 (100.00%)
Station 7329: 2024-01-01 to 2024-12-31 (100.00%)
Station 7330: 2024-01-01 to 2024-12-31 (100.00%)
Station 7331: 2024-01-01 to 2024-12-31 (100.00%)
Station 7341: 2024-01-01 to 2024-12-31 (100.00%)
Station 7343: 2024-01-01 to 2024-12-31 (100.00%)
Station 7350: 2024-01-01 to 2024-12-31 (100.00%)
Station 7351: 2024-01-01 to 2024-12-31 (100.00%)
Station 7364: 2024-01-01 to 2024-12-31 (100.00%)
Station 7367: 2024-01-01 to 2024-12-31 (100.00%)
Station 7368: 2024-01-01 to 2024-12-31 (100.00%)
Station 7369: 2024-01-01 to 2024-12-31 (100.00%)
Station 7370: 2024-01-01 to 2024-12-31 (100.00%)
Station 7373: 2024-01-01 to 2024-12-31 (100.00%)
Station 7374: 2024-01-01 to 2024-12-31 (100.00%)
Station 7389: 2024-01-01 to 2024-12-31 (100.00%)
Station 7393: 2024-01-01 to 2024-12-31 (100.00%)
Station 7394: 2024-01-01 to 2024-12-31 (100.00%)
Station 7395: 2024-01-01 to 2024-12-31 (100.00%)
Station 7396: 2024-01-01 to 2024-12-31 (100.00%)
Station 7403: 2024-01-01 to 2024-12-31 (100.00%)
Station 7410: 2024-01-01 to 2024-12-31 (100.00%)
Station 7412: 2024-01-01 to 2024-12-31 (100.00%)
Station 7419: 2024-01-01 to 2024-12-31 (100.00%)
Station 7420: 2024-01-01 to 2024-12-31 (100.00%)
Station 7424: 2024-01-01 to 2024-12-31 (100.00%)
Station 7427: 2024-01-01 to 2024-12-31 (100.00%)
Station 7428: 2024-01-01 to 2024-12-31 (100.00%)
Station 7431: 2024-01-01 to 2024-12-31 (100.00%)
Station 7432: 2024-01-01 to 2024-12-31 (100.00%)
Station 13670: 2024-01-01 to 2024-12-31 (100.00%)
